BE127,pymes,15,pyme,2,0
SA1554KF,retail,10,tienda-A,1,2020-10-19 15:18:39.3827846 -0300 -03 m=+6.586769401
SA1554KF,retail,10,tienda-A,1,2020-10-19 15:18:39.3957828 -0300 -03 m=+6.599767601
SA5698PO,retail,110,tienda-C,1,0
SA1684AH,retail,12,tienda-B,0,2020-10-19 15:18:43.4433171 -0300 -03 m=+10.647301901
SA5698PO,retail,110,tienda-C,3,2020-10-19 15:18:47.483322 -0300 -03 m=+14.687306801
SA5698PO,retail,110,tienda-C,3,2020-10-19 15:18:47.4903543 -0300 -03 m=+14.694339101
SA1589GD,retail,100,tienda-B,1,2020-10-19 15:18:51.5443135 -0300 -03 m=+18.748298301
SA5897AS,retail,95,tienda-A,0,2020-10-19 15:18:51.5513588 -0300 -03 m=+18.755343601
SA1589GD,retail,100,tienda-B,2,0
SA5713AS,retail,20,tienda-B,0,2020-10-19 15:18:55.5914369 -0300 -03 m=+22.795421701
SA3574FG,retail,120,tienda-B,1,2020-10-19 15:18:59.6354147 -0300 -03 m=+26.839399501
SA1589GD,retail,100,tienda-B,3,0
SA3574FG,retail,120,tienda-B,2,2020-10-19 15:19:03.688435 -0300 -03 m=+30.892419801
SA3698HJ,retail,25,tienda-C,0,2020-10-19 15:19:03.6954349 -0300 -03 m=+30.899419701
SA3574FG,retail,120,tienda-B,3,2020-10-19 15:19:07.7306503 -0300 -03 m=+34.934635101
SA5648AA,retail,80,tienda-B,0,2020-10-19 15:19:07.7376518 -0300 -03 m=+34.941636601
SA6947GH,retail,50,tienda-C,1,2020-10-19 15:19:11.792783 -0300 -03 m=+38.996767801
SA6644DS,retail,30,tienda-A,0,2020-10-19 15:19:11.7998222 -0300 -03 m=+39.003807001
SA5974AA,retail,105,tienda-C,1,0
SA2596NH,retail,90,tienda-A,0,2020-10-19 15:19:15.8431102 -0300 -03 m=+43.047095001
SA7748JK,retail,115,tienda-B,1,2020-10-19 15:19:19.8961019 -0300 -03 m=+47.100086701
SA5974AA,retail,105,tienda-C,2,2020-10-19 15:19:19.9031077 -0300 -03 m=+47.107092501
SA7748JK,retail,115,tienda-B,2,2020-10-19 15:19:23.9922181 -0300 -03 m=+51.196202901
SA5974AA,retail,105,tienda-C,2,2020-10-19 15:19:24.0032213 -0300 -03 m=+51.207206101
SA7748JK,retail,115,tienda-B,3,0
SA6947GH,retail,50,tienda-C,1,0
SA5588HJ,retail,25,tienda-C,1,0
SA6947GH,retail,50,tienda-C,2,2020-10-19 15:19:32.0880018 -0300 -03 m=+59.291986601
SA5588HJ,retail,25,tienda-C,3,2020-10-19 15:19:36.1337046 -0300 -03 m=+63.337689401
SA5588HJ,retail,25,tienda-C,3,2020-10-19 15:19:36.1437163 -0300 -03 m=+63.347701101
SA1597EF,retail,20,tienda-A,1,0
SA8859SS,retail,15,tienda-C,0,2020-10-19 15:19:40.1937052 -0300 -03 m=+67.397690001
SA1597EF,retail,20,tienda-A,3,2020-10-19 15:19:44.243703 -0300 -03 m=+71.447687801
SA1597EF,retail,20,tienda-A,3,2020-10-19 15:19:44.2527057 -0300 -03 m=+71.456690501
SA2563AS,retail,15,tienda-A,1,2020-10-19 15:19:48.3207098 -0300 -03 m=+75.524694601
SA1937JH,retail,6,tienda-C,0,2020-10-19 15:19:48.3327036 -0300 -03 m=+75.536688401
SA2563AS,retail,15,tienda-A,2,0
SA2589TR,retail,5,tienda-C,0,2020-10-19 15:19:52.3827034 -0300 -03 m=+79.586688201
SA2563AS,retail,15,tienda-A,5,2020-10-19 15:19:56.4367052 -0300 -03 m=+83.640690001
